wallet,role,token_outcome_norm,notional_usd,trade_count
0x317d7e26e1530940f3ae62d9d6bac660815b8812,maker,YES,1087.89445,1
0x3199558b7a112beb9363ba82a71d985b174cfdf3,maker,YES,600.0,1
0x31b5d60d82ee8a14dc795a41a63953f0974c6128,maker,NO,1187.356569,2
0x31c518f864d1394361fec967b3daa9093a86ede4,maker,NO,672.0,1
0x31e17712a0285b9c2bc8788879bb135091b7c852,maker,NO,10702.884369,11
0x31e17712a0285b9c2bc8788879bb135091b7c852,taker,NO,1648.9718,2
0x320111b50e1c1b1174031939bd87771fefae6634,maker,YES,3670.15746,4
0x320111b50e1c1b1174031939bd87771fefae6634,taker,YES,524.14614,1
0x3257501508b82c2f7aeb914088b6ed089f362f3b,maker,NO,4665.0,3
0x3257501508b82c2f7aeb914088b6ed089f362f3b,taker,YES,1675.0,2
0x33c2ea1151c4399309715df027688845a6a99818,maker,NO,8840.8005,1
0x33c2ea1151c4399309715df027688845a6a99818,taker,NO,4037.14344,2
0x3476e83a352209d4e557b2f7a190b52490ee1d4c,maker,YES,670.91691,1
0x34ab676b682e8132484a1c041f2c67706f063eb5,maker,NO,1379.4,1
0x35417b3d09d7a0991f75d7cc95162a6e34d7462e,maker,NO,103941.65237,20
0x35417b3d09d7a0991f75d7cc95162a6e34d7462e,maker,YES,51601.542747,26
0x35417b3d09d7a0991f75d7cc95162a6e34d7462e,taker,NO,153262.95758000002,39
0x35417b3d09d7a0991f75d7cc95162a6e34d7462e,taker,YES,25625.59846,10
0x3561eae11ed37e0995c4d9d2ac48cda9a66cd279,maker,NO,1340.0,1
0x356a4d442633db11a26df5fc01b51b7c03f117e7,maker,NO,3527.31424,1
0x356a4d442633db11a26df5fc01b51b7c03f117e7,taker,NO,970.5,1
0x356a4d442633db11a26df5fc01b51b7c03f117e7,taker,YES,975.46608,1
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,maker,NO,54133.87163,16
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,maker,YES,18989.05574,7
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,taker,NO,10606.73244,5
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,taker,YES,11694.04589,5
0x367385ab5b68d1b3edfde8783a5ced9761ff6c10,taker,NO,930.392156,1
0x38de80da57b4d02da76f237cf893eadef3ba1b9d,taker,NO,3033.162096,3
0x3968c3d8090406b6d4c6e29308331a9dc3292b0f,maker,NO,14025.684396,3
0x3968c3d8090406b6d4c6e29308331a9dc3292b0f,taker,NO,1826.93838,2
0x3968c3d8090406b6d4c6e29308331a9dc3292b0f,taker,YES,1702.855,2
0x39ef754824a7d842506757cbfe2d73152175163a,maker,NO,4293.5615,1
0x39ef754824a7d842506757cbfe2d73152175163a,maker,YES,7704.547329000001,2
0x39ef754824a7d842506757cbfe2d73152175163a,taker,NO,2893.96774,3
0x39ef754824a7d842506757cbfe2d73152175163a,taker,YES,5456.24876,5
0x3a13f96b2523501d9180ff2e55c98e82f322726c,maker,NO,6796.77448,1
0x3a13f96b2523501d9180ff2e55c98e82f322726c,taker,NO,6003.0,1
0x3af4a342b524d8cce3da2446c96ad88fcafb5c43,taker,NO,751.5989,1
0x3b04d995828c28106ddc9e7722399bde0ff39f95,maker,NO,1383.58,2
0x3c382a7dd34340c38a527e4a610bd9a643fbe626,taker,NO,595.343023,1
0x3c3c54b7ed26c639f6a96a0c668c0158706e70ca,maker,YES,702.6543,1
0x3c3c54b7ed26c639f6a96a0c668c0158706e70ca,taker,NO,1060.532237,2
0x3d1487b9a384635dcd7e438eb183e95351b5ee01,maker,NO,770.00898,1
0x3d59d8fe999ea15f8c389eb5b49474c8ec3664df,maker,YES,1029.944,1
0x3d59d8fe999ea15f8c389eb5b49474c8ec3664df,taker,NO,3830.12581,5
0x3deab84fa3c5cbfed1db0764a88810efee08e49f,maker,NO,2389.219995,2
0x3e5b23e9f71b2a2edcd5629d3f948f12f591073b,maker,NO,17947.041313,12
0x3f02a8b650d4b30449e83616f2165460209ca51c,maker,NO,1163.24612,2
0x3f216ba174ce77d2b891cf3a2c4747ca06cf3bce,taker,NO,3627.5895,2
0x3f543f5f415b1c8c25ed5d0511a5edddbbcc37e4,taker,NO,516.25,1
0x3f93f0437d4c3c2cf4b18d1922244409d3fd7a98,maker,YES,2862.37112,1
0x3f93f0437d4c3c2cf4b18d1922244409d3fd7a98,taker,NO,5751.78512,1
0x3f93f0437d4c3c2cf4b18d1922244409d3fd7a98,taker,YES,767.232,1
0x3fa1bb3299658db4906918a943afe4d1ee7bf5a1,taker,NO,1607.72528,1
0x3fd0190eb137e335db080b9855f90c86849f0022,maker,NO,5364.97792,2
0x3ffe0f919dc7bac333dd33c0d5204bf8d0b426f4,maker,NO,5672.23502,5
0x3ffe1712d9b5e0d8c176f1ede6b49b9b177ae125,maker,NO,794.0,1
0x401ee31e9ebf9ab9f6315cd95faca5f950436fc9,maker,NO,22231.955103,17
0x401ee31e9ebf9ab9f6315cd95faca5f950436fc9,maker,YES,1869.87823,3
0x401ee31e9ebf9ab9f6315cd95faca5f950436fc9,taker,NO,4682.2369,5
0x401ee31e9ebf9ab9f6315cd95faca5f950436fc9,taker,YES,528.0048,1
0x40413bb8a4ea027c54bba89c0a13b8e68533ca54,maker,NO,2151.48115,1
0x405d101990061ace64f03847378ee0e07919025e,maker,YES,999.9,1
0x405d101990061ace64f03847378ee0e07919025e,taker,NO,2322.6,2
0x40cfb29411d29f4fa0908f2a121297042cccd21d,maker,NO,2496.30179,2
